iter	Passed	Remaining
0	0	545
1	1	532
2	1	503
3	1	455
4	2	427
5	2	406
6	2	398
7	3	401
8	3	400
9	3	395
10	4	391
11	4	381
12	4	378
13	5	375
14	5	368
15	5	364
16	6	365
17	6	363
18	6	359
19	7	357
20	7	357
21	8	357
22	8	356
23	8	354
24	8	349
25	9	347
26	9	346
27	9	344
28	10	342
29	10	342
30	10	339
31	11	337
32	11	335
33	11	336
34	12	341
35	12	340
36	13	340
37	13	339
38	13	336
39	13	334
40	14	332
41	14	329
42	14	328
43	15	327
44	15	327
45	15	326
46	16	325
47	16	325
48	16	324
49	17	323
50	17	322
51	17	321
52	18	323
53	18	322
54	18	321
55	18	320
56	19	319
57	19	319
58	19	318
59	20	317
60	20	316
61	20	315
62	21	315
63	21	315
64	21	314
65	22	313
66	22	312
67	22	312
68	23	313
69	23	312
70	23	312
71	24	312
72	24	312
73	24	311
74	25	310
75	25	308
76	25	307
77	25	307
78	26	307
79	26	306
80	26	305
81	27	305
82	27	303
83	27	303
84	28	304
85	28	303
86	28	303
87	29	303
88	29	302
89	29	302
90	30	301
91	30	300
92	30	300
93	31	301
94	31	300
95	31	299
96	32	300
97	32	300
98	33	300
99	33	300
100	33	300
101	34	300
102	34	300
103	34	300
104	35	299
105	35	298
106	35	297
107	35	297
108	36	296
109	36	296
110	36	295
111	37	294
112	37	294
113	37	293
114	38	293
115	38	292
116	38	291
117	38	291
118	39	290
119	39	290
120	39	290
121	40	289
122	40	288
123	40	288
124	41	287
125	41	287
126	41	286
127	41	285
128	42	285
129	42	284
130	43	285
131	43	285
132	43	285
133	44	285
134	44	285
135	44	284
136	45	284
137	45	283
138	45	283
139	46	283
140	46	283
141	46	283
142	47	282
143	47	282
144	47	282
145	48	281
146	48	281
147	48	280
148	49	280
149	49	280
150	49	279
151	50	279
152	50	278
153	50	279
154	51	278
155	51	278
156	51	279
157	52	278
158	52	278
159	52	277
160	53	276
161	53	275
162	53	275
163	53	275
164	54	274
165	54	274
166	54	273
167	55	273
168	55	272
169	55	272
170	56	272
171	56	272
172	56	272
173	57	271
174	57	270
175	57	270
176	58	270
177	58	270
178	58	270
179	59	269
180	59	269
181	59	269
182	60	268
183	60	268
184	60	268
185	61	267
186	61	267
187	61	266
188	62	266
189	62	266
190	62	265
191	63	265
192	63	264
193	63	264
194	64	264
195	64	264
196	64	263
197	65	263
198	65	263
199	65	263
200	66	263
201	66	262
202	66	262
203	67	262
204	67	261
205	67	261
206	68	261
207	68	260
208	68	260
209	69	260
210	69	259
211	69	259
212	70	259
213	70	258
214	70	258
215	71	258
216	71	257
217	71	257
218	71	256
219	72	256
220	72	255
221	72	255
222	73	254
223	73	254
224	73	254
225	74	254
226	74	254
227	74	253
228	75	253
229	75	253
230	75	252
231	76	252
232	76	252
233	76	251
234	77	251
235	77	250
236	77	250
237	78	250
238	78	249
239	78	249
240	79	249
241	79	249
242	79	248
243	80	248
244	80	248
245	81	248
246	81	247
247	81	247
248	81	247
249	82	246
250	82	246
251	82	245
252	83	245
253	83	245
254	83	245
255	84	244
256	84	244
257	84	244
258	85	244
259	85	243
260	85	243
261	86	243
262	86	242
263	87	242
264	87	242
265	87	242
266	88	242
267	88	242
268	88	241
269	89	241
270	89	241
271	90	241
272	90	240
273	90	240
274	91	240
275	91	240
276	91	239
277	92	239
278	92	239
279	93	239
280	93	239
281	94	239
282	94	239
283	94	238
284	95	238
285	95	238
286	95	238
287	96	238
288	96	237
289	97	237
290	97	237
291	97	237
292	98	236
293	98	236
294	98	236
295	99	235
296	99	235
297	99	235
298	100	235
299	100	234
300	100	234
301	101	234
302	101	233
303	101	233
304	102	233
305	102	232
306	103	232
307	103	232
308	103	231
309	104	231
310	104	231
311	104	230
312	105	230
313	105	230
314	106	230
315	106	230
316	106	230
317	107	229
318	107	229
319	107	228
320	107	228
321	108	228
322	108	228
323	109	227
324	109	227
325	109	227
326	110	227
327	110	226
328	110	226
329	111	225
330	111	225
331	111	225
332	112	225
333	112	224
334	113	224
335	113	224
336	113	223
337	114	223
338	114	223
339	114	222
340	115	222
341	115	222
342	116	222
343	116	221
344	116	221
345	117	221
346	117	220
347	117	220
348	117	220
349	118	219
350	118	219
351	119	219
352	119	218
353	119	218
354	120	218
355	120	218
356	121	218
357	121	217
358	121	217
359	122	217
360	122	217
361	122	216
362	123	216
363	123	216
364	124	216
365	124	215
366	124	215
367	125	215
368	125	214
369	125	214
370	126	214
371	126	214
372	127	213
373	127	213
374	127	213
375	128	212
376	128	212
377	128	212
378	129	211
379	129	211
380	129	211
381	130	210
382	130	210
383	131	210
384	131	209
385	131	209
386	132	209
387	132	208
388	132	208
389	133	208
390	133	207
391	133	207
392	134	207
393	134	206
394	134	206
395	134	205
396	135	205
397	135	205
398	135	204
399	136	204
400	136	204
401	137	203
402	137	203
403	137	203
404	138	203
405	138	202
406	139	202
407	139	202
408	139	202
409	140	201
410	140	201
411	141	201
412	141	201
413	141	200
414	142	200
415	142	200
416	142	199
417	143	199
418	143	199
419	143	198
420	144	198
421	144	198
422	144	197
423	145	197
424	145	196
425	145	196
426	146	196
427	146	195
428	146	195
429	147	195
430	147	195
431	148	194
432	148	194
433	149	194
434	149	193
435	149	193
436	150	193
437	150	192
438	150	192
439	151	192
440	151	192
441	152	192
442	152	191
443	152	191
444	153	190
445	153	190
446	153	190
447	154	189
448	154	189
449	154	189
450	155	189
451	155	188
452	155	188
453	156	187
454	156	187
455	156	187
456	157	186
457	157	186
458	157	186
459	158	185
460	158	185
461	158	185
462	159	184
463	159	184
464	160	184
465	160	184
466	160	183
467	161	183
468	161	183
469	161	182
470	162	182
471	162	182
472	163	181
473	163	181
474	163	180
475	164	180
476	164	180
477	164	179
478	165	179
479	165	179
480	165	178
481	166	178
482	166	178
483	167	178
484	167	177
485	167	177
486	168	177
487	168	176
488	169	176
489	169	176
490	169	175
491	170	175
492	170	175
493	170	174
494	170	174
495	171	174
496	171	173
497	171	173
498	172	172
499	172	172
500	172	172
501	173	171
502	173	171
503	173	171
504	174	170
505	174	170
506	174	169
507	175	169
508	175	169
509	175	168
510	176	168
511	176	168
512	177	168
513	177	167
514	177	167
515	178	167
516	178	166
517	178	166
518	179	166
519	179	165
520	179	165
521	180	164
522	180	164
523	180	164
524	181	163
525	181	163
526	181	163
527	182	162
528	182	162
529	182	162
530	183	161
531	183	161
532	183	160
533	183	160
534	184	160
535	184	159
536	184	159
537	185	158
538	185	158
539	185	158
540	186	158
541	186	157
542	186	157
543	187	156
544	187	156
545	187	156
546	188	155
547	188	155
548	188	155
549	189	154
550	189	154
551	189	153
552	189	153
553	190	153
554	190	152
555	190	152
556	191	151
557	191	151
558	191	151
559	191	150
560	192	150
561	192	149
562	192	149
563	192	149
564	193	148
565	193	148
566	193	147
567	194	147
568	194	147
569	194	146
570	194	146
571	195	145
572	195	145
573	195	145
574	195	144
575	196	144
576	196	144
577	196	143
578	196	143
579	197	142
580	197	142
581	197	142
582	198	141
583	198	141
584	198	141
585	199	140
586	199	140
587	199	139
588	200	139
589	200	139
590	201	139
591	201	138
592	201	138
593	202	138
594	202	137
595	202	137
596	202	137
597	203	136
598	203	136
599	203	135
600	204	135
601	204	135
602	204	134
603	204	134
604	205	133
605	205	133
606	205	133
607	206	132
608	206	132
609	206	132
610	206	131
611	207	131
612	207	130
613	207	130
614	207	130
615	208	129
616	208	129
617	208	129
618	208	128
619	209	128
620	209	127
621	209	127
622	209	127
623	210	126
624	210	126
625	210	125
626	211	125
627	211	125
628	211	124
629	211	124
630	212	124
631	212	123
632	212	123
633	212	122
634	213	122
635	213	122
636	213	121
637	213	121
638	214	120
639	214	120
640	214	120
641	214	119
642	215	119
643	215	119
644	215	118
645	216	118
646	216	118
647	216	117
648	216	117
649	217	116
650	217	116
651	217	116
652	217	115
653	218	115
654	218	115
655	218	114
656	219	114
657	219	114
658	219	113
659	219	113
660	220	112
661	220	112
662	220	112
663	220	111
664	221	111
665	221	111
666	221	110
667	222	110
668	222	109
669	222	109
670	222	109
671	222	108
672	223	108
673	223	108
674	223	107
675	224	107
676	224	107
677	224	106
678	224	106
679	225	105
680	225	105
681	225	105
682	225	104
683	226	104
684	226	104
685	226	103
686	226	103
687	227	102
688	227	102
689	227	102
690	227	101
691	228	101
692	228	101
693	228	100
694	228	100
695	229	100
696	229	99
697	229	99
698	229	98
699	230	98
700	230	98
701	230	97
702	231	97
703	231	97
704	231	96
705	231	96
706	232	96
707	232	95
708	232	95
709	232	95
710	233	94
711	233	94
712	233	94
713	233	93
714	234	93
715	234	93
716	234	92
717	235	92
718	235	91
719	235	91
720	235	91
721	236	90
722	236	90
723	236	90
724	236	89
725	237	89
726	237	89
727	237	88
728	237	88
729	238	88
730	238	87
731	238	87
732	239	87
733	239	86
734	239	86
735	239	86
736	240	85
737	240	85
738	240	84
739	240	84
740	241	84
741	241	83
742	241	83
743	241	83
744	242	82
745	242	82
746	242	82
747	242	81
748	243	81
749	243	81
750	243	80
751	244	80
752	244	80
753	244	79
754	244	79
755	245	79
756	245	78
757	245	78
758	246	78
759	246	77
760	246	77
761	246	77
762	247	76
763	247	76
764	247	76
765	247	75
766	248	75
767	248	75
768	248	74
769	249	74
770	249	74
771	249	73
772	249	73
773	249	72
774	250	72
775	250	72
776	250	71
777	251	71
778	251	71
779	251	70
780	251	70
781	252	70
782	252	69
783	252	69
784	252	69
785	253	68
786	253	68
787	253	68
788	254	67
789	254	67
790	254	67
791	254	66
792	255	66
793	255	66
794	255	65
795	255	65
796	256	65
797	256	64
798	256	64
799	256	64
800	257	63
801	257	63
802	257	63
803	257	62
804	258	62
805	258	62
806	258	61
807	258	61
808	259	61
809	259	60
810	259	60
811	260	60
812	260	59
813	260	59
814	260	59
815	261	58
816	261	58
817	261	58
818	262	57
819	262	57
820	262	57
821	262	56
822	263	56
823	263	56
824	263	55
825	263	55
826	264	55
827	264	54
828	264	54
829	264	54
830	265	53
831	265	53
832	265	53
833	265	52
834	266	52
835	266	52
836	266	51
837	266	51
838	267	51
839	267	50
840	267	50
841	268	50
842	268	49
843	268	49
844	268	49
845	269	48
846	269	48
847	269	48
